Client Algo.,Num. Client,Local Epoch,Test Score,Round
CQL-FL,4,2,100.0,758
CQL-FL,4,2,100.0,759
CQL-FL,4,2,100.0,760
CQL-FL,4,2,100.0,761
CQL-FL,4,2,100.0,762
CQL-FL,4,2,100.0,763
CQL-FL,4,2,100.0,764
CQL-FL,4,2,100.0,765
CQL-FL,4,2,100.0,766
CQL-FL,4,2,100.0,767
CQL-FL,4,2,100.0,768
CQL-FL,4,2,100.0,769
CQL-FL,4,2,100.0,770
CQL-FL,4,2,100.0,771
CQL-FL,4,2,100.0,772
CQL-FL,4,2,100.0,773
CQL-FL,4,2,100.0,774
CQL-FL,4,2,100.0,775
CQL-FL,4,2,100.0,776
CQL-FL,4,2,100.0,777
CQL-FL,4,2,100.0,778
CQL-FL,4,2,100.0,779
CQL-FL,4,2,100.0,780
CQL-FL,4,2,100.0,781
CQL-FL,4,2,100.0,782
CQL-FL,4,2,100.0,783
CQL-FL,4,2,100.0,784
CQL-FL,4,2,100.0,785
CQL-FL,4,2,100.0,786
CQL-FL,4,2,100.0,787
CQL-FL,4,2,100.0,788
CQL-FL,4,2,100.0,789
CQL-FL,4,2,100.0,790
CQL-FL,4,2,100.0,791
CQL-FL,4,2,100.0,792
CQL-FL,4,2,100.0,793
CQL-FL,4,2,100.0,794
CQL-FL,4,2,100.0,795
CQL-FL,4,2,100.0,796
CQL-FL,4,2,100.0,797
CQL-FL,4,2,100.0,798
CQL-FL,4,2,100.0,799
